"","iso3c","question","yes_no","year_enforcement","year_panel"
"1","ARG","Ques_1","1",2009,"1925"
"2","ARG","Ques_1","1",2009,"1931"
"3","ARG","Ques_1","1",2009,"1965"
"4","ARG","Ques_1","1",2009,"1967"
"5","ARG","Ques_1","1",2009,"1983"
"6","ARG","Ques_1","1",2009,"1986"
"7","ARG","Ques_1","1",2009,"1988"
"8","ARG","Ques_1","1",2009,"1991"
"9","ARG","Ques_1","1",2009,"1992"
"10","ARG","Ques_1","1",2009,"1994"
"11","ARG","Ques_1","1",2009,"1995"
"12","ARG","Ques_1","1",2009,"1996"
"13","ARG","Ques_1","1",2009,"1997"
"14","ARG","Ques_1","1",2009,"1998"
"15","ARG","Ques_1","1",2009,"2000"
"16","ARG","Ques_1","1",2009,"2002"
"17","ARG","Ques_1","1",2009,"2003"
"18","ARG","Ques_1","1",2009,"2004"
"19","ARG","Ques_1","1",2009,"2005"
"20","ARG","Ques_1","1",2009,"2006"
"21","ARG","Ques_1","1",2009,"2007"
"22","ARG","Ques_1","1",2009,"2008"
"23","ARG","Ques_1","1",2009,"2009"
"24","ARG","Ques_1","1",2009,"2010"
"25","ARG","Ques_1","1",2009,"2011"
"26","ARG","Ques_1","1",2009,"2014"
"27","ARG","Ques_1","1",2009,"2015"
"28","ARG","Ques_1","1",2009,"2016"
"29","ARG","Ques_10","0",2016,"1925"
"30","ARG","Ques_10","0",2016,"1931"
"31","ARG","Ques_10","0",2016,"1965"
"32","ARG","Ques_10","0",2016,"1967"
"33","ARG","Ques_10","0",2016,"1983"
"34","ARG","Ques_10","0",2016,"1986"
"35","ARG","Ques_10","0",2016,"1988"
"36","ARG","Ques_10","0",2016,"1991"
"37","ARG","Ques_10","0",2016,"1992"
"38","ARG","Ques_10","0",2016,"1994"
"39","ARG","Ques_10","0",2016,"1995"
"40","ARG","Ques_10","0",2016,"1996"
"41","ARG","Ques_10","0",2016,"1997"
"42","ARG","Ques_10","0",2016,"1998"
"43","ARG","Ques_10","0",2016,"2000"
"44","ARG","Ques_10","0",2016,"2002"
"45","ARG","Ques_10","0",2016,"2003"
"46","ARG","Ques_10","0",2016,"2004"
"47","ARG","Ques_10","0",2016,"2005"
"48","ARG","Ques_10","0",2016,"2006"
"49","ARG","Ques_10","0",2016,"2007"
"50","ARG","Ques_10","0",2016,"2008"
"51","ARG","Ques_10","0",2016,"2009"
"52","ARG","Ques_10","0",2016,"2010"
"53","ARG","Ques_10","0",2016,"2011"
"54","ARG","Ques_10","0",2016,"2014"
"55","ARG","Ques_10","0",2016,"2015"
"56","ARG","Ques_10","0",2016,"2016"
"57","ARG","Ques_11","1",2009,"1925"
"58","ARG","Ques_11","1",2009,"1931"
"59","ARG","Ques_11","1",2009,"1965"
"60","ARG","Ques_11","1",2009,"1967"
"61","ARG","Ques_11","1",2009,"1983"
"62","ARG","Ques_11","1",2009,"1986"
"63","ARG","Ques_11","1",2009,"1988"
"64","ARG","Ques_11","1",2009,"1991"
"65","ARG","Ques_11","1",2009,"1992"
"66","ARG","Ques_11","1",2009,"1994"
"67","ARG","Ques_11","1",2009,"1995"
"68","ARG","Ques_11","1",2009,"1996"
"69","ARG","Ques_11","1",2009,"1997"
"70","ARG","Ques_11","1",2009,"1998"
"71","ARG","Ques_11","1",2009,"2000"
"72","ARG","Ques_11","1",2009,"2002"
"73","ARG","Ques_11","1",2009,"2003"
"74","ARG","Ques_11","1",2009,"2004"
"75","ARG","Ques_11","1",2009,"2005"
"76","ARG","Ques_11","1",2009,"2006"
"77","ARG","Ques_11","1",2009,"2007"
"78","ARG","Ques_11","1",2009,"2008"
"79","ARG","Ques_11","1",2009,"2009"
"80","ARG","Ques_11","1",2009,"2010"
"81","ARG","Ques_11","1",2009,"2011"
"82","ARG","Ques_11","1",2009,"2014"
"83","ARG","Ques_11","1",2009,"2015"
"84","ARG","Ques_11","1",2009,"2016"
"85","ARG","Ques_12","0",2009,"1925"
"86","ARG","Ques_12","0",2009,"1931"
"87","ARG","Ques_12","0",2009,"1965"
"88","ARG","Ques_12","0",2009,"1967"
"89","ARG","Ques_12","0",2009,"1983"
"90","ARG","Ques_12","0",2009,"1986"
"91","ARG","Ques_12","0",2009,"1988"
"92","ARG","Ques_12","0",2009,"1991"
"93","ARG","Ques_12","0",2009,"1992"
"94","ARG","Ques_12","0",2009,"1994"
"95","ARG","Ques_12","0",2009,"1995"
"96","ARG","Ques_12","0",2009,"1996"
"97","ARG","Ques_12","0",2009,"1997"
"98","ARG","Ques_12","0",2009,"1998"
"99","ARG","Ques_12","0",2009,"2000"
"100","ARG","Ques_12","0",2009,"2002"
"101","ARG","Ques_12","0",2009,"2003"
"102","ARG","Ques_12","0",2009,"2004"
"103","ARG","Ques_12","0",2009,"2005"
"104","ARG","Ques_12","0",2009,"2006"
"105","ARG","Ques_12","0",2009,"2007"
"106","ARG","Ques_12","0",2009,"2008"
"107","ARG","Ques_12","0",2009,"2009"
"108","ARG","Ques_12","0",2009,"2010"
"109","ARG","Ques_12","0",2009,"2011"
"110","ARG","Ques_12","0",2009,"2014"
"111","ARG","Ques_12","0",2009,"2015"
"112","ARG","Ques_12","0",2009,"2016"
"113","ARG","Ques_13","0",2009,"1925"
"114","ARG","Ques_13","0",2009,"1931"
"115","ARG","Ques_13","0",2009,"1965"
"116","ARG","Ques_13","0",2009,"1967"
"117","ARG","Ques_13","0",2009,"1983"
"118","ARG","Ques_13","0",2009,"1986"
"119","ARG","Ques_13","0",2009,"1988"
"120","ARG","Ques_13","0",2009,"1991"
"121","ARG","Ques_13","0",2009,"1992"
"122","ARG","Ques_13","0",2009,"1994"
"123","ARG","Ques_13","0",2009,"1995"
"124","ARG","Ques_13","0",2009,"1996"
"125","ARG","Ques_13","0",2009,"1997"
"126","ARG","Ques_13","0",2009,"1998"
"127","ARG","Ques_13","0",2009,"2000"
"128","ARG","Ques_13","0",2009,"2002"
"129","ARG","Ques_13","0",2009,"2003"
"130","ARG","Ques_13","0",2009,"2004"
"131","ARG","Ques_13","0",2009,"2005"
"132","ARG","Ques_13","0",2009,"2006"
"133","ARG","Ques_13","0",2009,"2007"
"134","ARG","Ques_13","0",2009,"2008"
"135","ARG","Ques_13","0",2009,"2009"
"136","ARG","Ques_13","0",2009,"2010"
"137","ARG","Ques_13","0",2009,"2011"
"138","ARG","Ques_13","0",2009,"2014"
"139","ARG","Ques_13","0",2009,"2015"
"140","ARG","Ques_13","0",2009,"2016"
"141","ARG","Ques_15","0",2009,"1925"
"142","ARG","Ques_15","0",2009,"1931"
"143","ARG","Ques_15","0",2009,"1965"
"144","ARG","Ques_15","0",2009,"1967"
"145","ARG","Ques_15","0",2009,"1983"
"146","ARG","Ques_15","0",2009,"1986"
"147","ARG","Ques_15","0",2009,"1988"
"148","ARG","Ques_15","0",2009,"1991"
"149","ARG","Ques_15","0",2009,"1992"
"150","ARG","Ques_15","0",2009,"1994"
"151","ARG","Ques_15","0",2009,"1995"
"152","ARG","Ques_15","0",2009,"1996"
"153","ARG","Ques_15","0",2009,"1997"
"154","ARG","Ques_15","0",2009,"1998"
"155","ARG","Ques_15","0",2009,"2000"
"156","ARG","Ques_15","0",2009,"2002"
"157","ARG","Ques_15","0",2009,"2003"
"158","ARG","Ques_15","0",2009,"2004"
"159","ARG","Ques_15","0",2009,"2005"
"160","ARG","Ques_15","0",2009,"2006"
"161","ARG","Ques_15","0",2009,"2007"
"162","ARG","Ques_15","0",2009,"2008"
"163","ARG","Ques_15","0",2009,"2009"
"164","ARG","Ques_15","0",2009,"2010"
"165","ARG","Ques_15","0",2009,"2011"
"166","ARG","Ques_15","0",2009,"2014"
"167","ARG","Ques_15","0",2009,"2015"
"168","ARG","Ques_15","0",2009,"2016"
"169","ARG","Ques_17","0",2011,"1925"
"170","ARG","Ques_17","0",2011,"1931"
"171","ARG","Ques_17","0",2011,"1965"
"172","ARG","Ques_17","0",2011,"1967"
"173","ARG","Ques_17","0",2011,"1983"
"174","ARG","Ques_17","0",2011,"1986"
"175","ARG","Ques_17","0",2011,"1988"
"176","ARG","Ques_17","0",2011,"1991"
"177","ARG","Ques_17","0",2011,"1992"
"178","ARG","Ques_17","0",2011,"1994"
"179","ARG","Ques_17","0",2011,"1995"
"180","ARG","Ques_17","0",2011,"1996"
"181","ARG","Ques_17","0",2011,"1997"
"182","ARG","Ques_17","0",2011,"1998"
"183","ARG","Ques_17","0",2011,"2000"
"184","ARG","Ques_17","0",2011,"2002"
"185","ARG","Ques_17","0",2011,"2003"
"186","ARG","Ques_17","0",2011,"2004"
"187","ARG","Ques_17","0",2011,"2005"
"188","ARG","Ques_17","0",2011,"2006"
"189","ARG","Ques_17","0",2011,"2007"
"190","ARG","Ques_17","0",2011,"2008"
"191","ARG","Ques_17","0",2011,"2009"
"192","ARG","Ques_17","0",2011,"2010"
"193","ARG","Ques_17","0",2011,"2011"
"194","ARG","Ques_17","0",2011,"2014"
"195","ARG","Ques_17","0",2011,"2015"
"196","ARG","Ques_17","0",2011,"2016"
"197","ARG","Ques_19","1",2016,"1925"
"198","ARG","Ques_19","1",2016,"1931"
"199","ARG","Ques_19","1",2016,"1965"
"200","ARG","Ques_19","1",2016,"1967"
"201","ARG","Ques_19","1",2016,"1983"
"202","ARG","Ques_19","1",2016,"1986"
"203","ARG","Ques_19","1",2016,"1988"
"204","ARG","Ques_19","1",2016,"1991"
"205","ARG","Ques_19","1",2016,"1992"
"206","ARG","Ques_19","1",2016,"1994"
"207","ARG","Ques_19","1",2016,"1995"
"208","ARG","Ques_19","1",2016,"1996"
"209","ARG","Ques_19","1",2016,"1997"
"210","ARG","Ques_19","1",2016,"1998"
"211","ARG","Ques_19","1",2016,"2000"
"212","ARG","Ques_19","1",2016,"2002"
"213","ARG","Ques_19","1",2016,"2003"
"214","ARG","Ques_19","1",2016,"2004"
"215","ARG","Ques_19","1",2016,"2005"
"216","ARG","Ques_19","1",2016,"2006"
"217","ARG","Ques_19","1",2016,"2007"
"218","ARG","Ques_19","1",2016,"2008"
"219","ARG","Ques_19","1",2016,"2009"
"220","ARG","Ques_19","1",2016,"2010"
"221","ARG","Ques_19","1",2016,"2011"
"222","ARG","Ques_19","1",2016,"2014"
"223","ARG","Ques_19","1",2016,"2015"
"224","ARG","Ques_19","1",2016,"2016"
"225","ARG","Ques_2","1",2016,"1925"
"226","ARG","Ques_2","1",2016,"1931"
"227","ARG","Ques_2","1",2016,"1965"
"228","ARG","Ques_2","1",2016,"1967"
"229","ARG","Ques_2","1",2016,"1983"
"230","ARG","Ques_2","1",2016,"1986"
"231","ARG","Ques_2","1",2016,"1988"
"232","ARG","Ques_2","1",2016,"1991"
"233","ARG","Ques_2","1",2016,"1992"
"234","ARG","Ques_2","1",2016,"1994"
"235","ARG","Ques_2","1",2016,"1995"
"236","ARG","Ques_2","1",2016,"1996"
"237","ARG","Ques_2","1",2016,"1997"
"238","ARG","Ques_2","1",2016,"1998"
"239","ARG","Ques_2","1",2016,"2000"
"240","ARG","Ques_2","1",2016,"2002"
"241","ARG","Ques_2","1",2016,"2003"
"242","ARG","Ques_2","1",2016,"2004"
"243","ARG","Ques_2","1",2016,"2005"
"244","ARG","Ques_2","1",2016,"2006"
"245","ARG","Ques_2","1",2016,"2007"
"246","ARG","Ques_2","1",2016,"2008"
"247","ARG","Ques_2","1",2016,"2009"
"248","ARG","Ques_2","1",2016,"2010"
"249","ARG","Ques_2","1",2016,"2011"
"250","ARG","Ques_2","1",2016,"2014"
"251","ARG","Ques_2","1",2016,"2015"
"252","ARG","Ques_2","1",2016,"2016"
"253","ARG","Ques_23","1",2009,"1925"
"254","ARG","Ques_23","1",2009,"1931"
"255","ARG","Ques_23","1",2009,"1965"
"256","ARG","Ques_23","1",2009,"1967"
"257","ARG","Ques_23","1",2009,"1983"
"258","ARG","Ques_23","1",2009,"1986"
"259","ARG","Ques_23","1",2009,"1988"
"260","ARG","Ques_23","1",2009,"1991"
"261","ARG","Ques_23","1",2009,"1992"
"262","ARG","Ques_23","1",2009,"1994"
"263","ARG","Ques_23","1",2009,"1995"
"264","ARG","Ques_23","1",2009,"1996"
"265","ARG","Ques_23","1",2009,"1997"
"266","ARG","Ques_23","1",2009,"1998"
"267","ARG","Ques_23","1",2009,"2000"
"268","ARG","Ques_23","1",2009,"2002"
"269","ARG","Ques_23","1",2009,"2003"
"270","ARG","Ques_23","1",2009,"2004"
"271","ARG","Ques_23","1",2009,"2005"
"272","ARG","Ques_23","1",2009,"2006"
"273","ARG","Ques_23","1",2009,"2007"
"274","ARG","Ques_23","1",2009,"2008"
"275","ARG","Ques_23","1",2009,"2009"
"276","ARG","Ques_23","1",2009,"2010"
"277","ARG","Ques_23","1",2009,"2011"
