"","X","iso3c","question","yes_no","year_enforcement","year_panel","pfri_level","n_question","n_enforced","pfri_pct","pfr_subindex"
"1",1,"ARG","Ques_1",1,2009,1925,0,30,0,0,"PI"
"2",2,"ARG","Ques_1",1,2009,1965,0,30,0,0,"PI"
"3",3,"ARG","Ques_1",1,2009,1983,0,30,0,0,"PI"
"4",4,"ARG","Ques_1",1,2009,1986,0,30,0,0,"PI"
"5",5,"ARG","Ques_1",1,2009,1991,0,30,0,0,"PI"
"6",6,"ARG","Ques_1",1,2009,1992,0,30,0,0,"PI"
"7",7,"ARG","Ques_1",1,2009,1996,0,30,0,0,"PI"
"8",8,"ARG","Ques_1",1,2009,1998,0,30,0,0,"PI"
"9",9,"ARG","Ques_1",1,2009,2000,0,30,0,0,"PI"
"10",10,"ARG","Ques_1",1,2009,2002,0,30,0,0,"PI"
"11",11,"ARG","Ques_1",1,2009,2003,0,30,0,0,"PI"
"12",12,"ARG","Ques_1",1,2009,2004,0,30,0,0,"PI"
"13",13,"ARG","Ques_1",1,2009,2005,0,30,0,0,"PI"
"14",14,"ARG","Ques_1",1,2009,2006,0,30,0,0,"PI"
"15",15,"ARG","Ques_1",1,2009,2007,0,30,0,0,"PI"
"16",16,"ARG","Ques_1",1,2009,2008,0,30,0,0,"PI"
"17",17,"ARG","Ques_1",1,2009,2009,1,30,13,0.433333333333333,"PI"
"18",18,"ARG","Ques_1",1,2009,2010,1,30,13,0.433333333333333,"PI"
"19",19,"ARG","Ques_1",1,2009,2011,1,30,14,0.466666666666667,"PI"
"20",20,"ARG","Ques_1",1,2009,2014,1,30,14,0.466666666666667,"PI"
"21",21,"ARG","Ques_1",1,2009,2015,1,30,14,0.466666666666667,"PI"
"22",22,"ARG","Ques_1",1,2009,2016,1,30,17,0.566666666666667,"PI"
"23",23,"ARG","Ques_10",0,2016,1925,0,30,0,0,"PI"
"24",24,"ARG","Ques_10",0,2016,1965,0,30,0,0,"PI"
"25",25,"ARG","Ques_10",0,2016,1983,0,30,0,0,"PI"
"26",26,"ARG","Ques_10",0,2016,1986,0,30,0,0,"PI"
"27",27,"ARG","Ques_10",0,2016,1991,0,30,0,0,"PI"
"28",28,"ARG","Ques_10",0,2016,1992,0,30,0,0,"PI"
"29",29,"ARG","Ques_10",0,2016,1996,0,30,0,0,"PI"
"30",30,"ARG","Ques_10",0,2016,1998,0,30,0,0,"PI"
"31",31,"ARG","Ques_10",0,2016,2000,0,30,0,0,"PI"
"32",32,"ARG","Ques_10",0,2016,2002,0,30,0,0,"PI"
"33",33,"ARG","Ques_10",0,2016,2003,0,30,0,0,"PI"
"34",34,"ARG","Ques_10",0,2016,2004,0,30,0,0,"PI"
