"","iso3c","question","yes_no","year_enforcement","year_panel"
"1","ARG","Ques_1","1",2009,"1925"
"2","ARG","Ques_1","1",2009,"1965"
"3","ARG","Ques_1","1",2009,"1983"
"4","ARG","Ques_1","1",2009,"1986"
"5","ARG","Ques_1","1",2009,"1991"
"6","ARG","Ques_1","1",2009,"1992"
"7","ARG","Ques_1","1",2009,"1996"
"8","ARG","Ques_1","1",2009,"1998"
"9","ARG","Ques_1","1",2009,"2000"
"10","ARG","Ques_1","1",2009,"2002"
"11","ARG","Ques_1","1",2009,"2003"
"12","ARG","Ques_1","1",2009,"2004"
"13","ARG","Ques_1","1",2009,"2005"
"14","ARG","Ques_1","1",2009,"2006"
"15","ARG","Ques_1","1",2009,"2007"
"16","ARG","Ques_1","1",2009,"2008"
"17","ARG","Ques_1","1",2009,"2009"
"18","ARG","Ques_1","1",2009,"2010"
"19","ARG","Ques_1","1",2009,"2011"
"20","ARG","Ques_1","1",2009,"2014"
"21","ARG","Ques_1","1",2009,"2015"
"22","ARG","Ques_1","1",2009,"2016"
"23","ARG","Ques_10","0",2016,"1925"
"24","ARG","Ques_10","0",2016,"1965"
"25","ARG","Ques_10","0",2016,"1983"
"26","ARG","Ques_10","0",2016,"1986"
"27","ARG","Ques_10","0",2016,"1991"
"28","ARG","Ques_10","0",2016,"1992"
"29","ARG","Ques_10","0",2016,"1996"
"30","ARG","Ques_10","0",2016,"1998"
"31","ARG","Ques_10","0",2016,"2000"
"32","ARG","Ques_10","0",2016,"2002"
"33","ARG","Ques_10","0",2016,"2003"
"34","ARG","Ques_10","0",2016,"2004"
"35","ARG","Ques_10","0",2016,"2005"
"36","ARG","Ques_10","0",2016,"2006"
"37","ARG","Ques_10","0",2016,"2007"
"38","ARG","Ques_10","0",2016,"2008"
"39","ARG","Ques_10","0",2016,"2009"
"40","ARG","Ques_10","0",2016,"2010"
"41","ARG","Ques_10","0",2016,"2011"
"42","ARG","Ques_10","0",2016,"2014"
"43","ARG","Ques_10","0",2016,"2015"
"44","ARG","Ques_10","0",2016,"2016"
"45","ARG","Ques_11","1",2009,"1925"
"46","ARG","Ques_11","1",2009,"1965"
"47","ARG","Ques_11","1",2009,"1983"
"48","ARG","Ques_11","1",2009,"1986"
"49","ARG","Ques_11","1",2009,"1991"
"50","ARG","Ques_11","1",2009,"1992"
"51","ARG","Ques_11","1",2009,"1996"
"52","ARG","Ques_11","1",2009,"1998"
"53","ARG","Ques_11","1",2009,"2000"
"54","ARG","Ques_11","1",2009,"2002"
"55","ARG","Ques_11","1",2009,"2003"
"56","ARG","Ques_11","1",2009,"2004"
"57","ARG","Ques_11","1",2009,"2005"
"58","ARG","Ques_11","1",2009,"2006"
"59","ARG","Ques_11","1",2009,"2007"
"60","ARG","Ques_11","1",2009,"2008"
"61","ARG","Ques_11","1",2009,"2009"
"62","ARG","Ques_11","1",2009,"2010"
"63","ARG","Ques_11","1",2009,"2011"
"64","ARG","Ques_11","1",2009,"2014"
"65","ARG","Ques_11","1",2009,"2015"
"66","ARG","Ques_11","1",2009,"2016"
"67","ARG","Ques_12","0",2009,"1925"
"68","ARG","Ques_12","0",2009,"1965"
"69","ARG","Ques_12","0",2009,"1983"
"70","ARG","Ques_12","0",2009,"1986"
"71","ARG","Ques_12","0",2009,"1991"
"72","ARG","Ques_12","0",2009,"1992"
"73","ARG","Ques_12","0",2009,"1996"
"74","ARG","Ques_12","0",2009,"1998"
"75","ARG","Ques_12","0",2009,"2000"
"76","ARG","Ques_12","0",2009,"2002"
"77","ARG","Ques_12","0",2009,"2003"
"78","ARG","Ques_12","0",2009,"2004"
"79","ARG","Ques_12","0",2009,"2005"
"80","ARG","Ques_12","0",2009,"2006"
"81","ARG","Ques_12","0",2009,"2007"
"82","ARG","Ques_12","0",2009,"2008"
"83","ARG","Ques_12","0",2009,"2009"
"84","ARG","Ques_12","0",2009,"2010"
"85","ARG","Ques_12","0",2009,"2011"
"86","ARG","Ques_12","0",2009,"2014"
"87","ARG","Ques_12","0",2009,"2015"
"88","ARG","Ques_12","0",2009,"2016"
"89","ARG","Ques_13","0",2009,"1925"
"90","ARG","Ques_13","0",2009,"1965"
"91","ARG","Ques_13","0",2009,"1983"
"92","ARG","Ques_13","0",2009,"1986"
"93","ARG","Ques_13","0",2009,"1991"
"94","ARG","Ques_13","0",2009,"1992"
"95","ARG","Ques_13","0",2009,"1996"
"96","ARG","Ques_13","0",2009,"1998"
"97","ARG","Ques_13","0",2009,"2000"
"98","ARG","Ques_13","0",2009,"2002"
"99","ARG","Ques_13","0",2009,"2003"
"100","ARG","Ques_13","0",2009,"2004"
"101","ARG","Ques_13","0",2009,"2005"
"102","ARG","Ques_13","0",2009,"2006"
"103","ARG","Ques_13","0",2009,"2007"
"104","ARG","Ques_13","0",2009,"2008"
"105","ARG","Ques_13","0",2009,"2009"
"106","ARG","Ques_13","0",2009,"2010"
"107","ARG","Ques_13","0",2009,"2011"
"108","ARG","Ques_13","0",2009,"2014"
"109","ARG","Ques_13","0",2009,"2015"
"110","ARG","Ques_13","0",2009,"2016"
"111","ARG","Ques_15","0",2009,"1925"
"112","ARG","Ques_15","0",2009,"1965"
"113","ARG","Ques_15","0",2009,"1983"
"114","ARG","Ques_15","0",2009,"1986"
"115","ARG","Ques_15","0",2009,"1991"
"116","ARG","Ques_15","0",2009,"1992"
"117","ARG","Ques_15","0",2009,"1996"
"118","ARG","Ques_15","0",2009,"1998"
"119","ARG","Ques_15","0",2009,"2000"
"120","ARG","Ques_15","0",2009,"2002"
"121","ARG","Ques_15","0",2009,"2003"
"122","ARG","Ques_15","0",2009,"2004"
"123","ARG","Ques_15","0",2009,"2005"
"124","ARG","Ques_15","0",2009,"2006"
"125","ARG","Ques_15","0",2009,"2007"
"126","ARG","Ques_15","0",2009,"2008"
"127","ARG","Ques_15","0",2009,"2009"
"128","ARG","Ques_15","0",2009,"2010"
"129","ARG","Ques_15","0",2009,"2011"
"130","ARG","Ques_15","0",2009,"2014"
"131","ARG","Ques_15","0",2009,"2015"
"132","ARG","Ques_15","0",2009,"2016"
"133","ARG","Ques_17","0",2011,"1925"
"134","ARG","Ques_17","0",2011,"1965"
"135","ARG","Ques_17","0",2011,"1983"
"136","ARG","Ques_17","0",2011,"1986"
"137","ARG","Ques_17","0",2011,"1991"
"138","ARG","Ques_17","0",2011,"1992"
"139","ARG","Ques_17","0",2011,"1996"
"140","ARG","Ques_17","0",2011,"1998"
"141","ARG","Ques_17","0",2011,"2000"
"142","ARG","Ques_17","0",2011,"2002"
"143","ARG","Ques_17","0",2011,"2003"
"144","ARG","Ques_17","0",2011,"2004"
"145","ARG","Ques_17","0",2011,"2005"
"146","ARG","Ques_17","0",2011,"2006"
"147","ARG","Ques_17","0",2011,"2007"
"148","ARG","Ques_17","0",2011,"2008"
"149","ARG","Ques_17","0",2011,"2009"
"150","ARG","Ques_17","0",2011,"2010"
"151","ARG","Ques_17","0",2011,"2011"
"152","ARG","Ques_17","0",2011,"2014"
"153","ARG","Ques_17","0",2011,"2015"
"154","ARG","Ques_17","0",2011,"2016"
"155","ARG","Ques_19","1",2016,"1925"
"156","ARG","Ques_19","1",2016,"1965"
"157","ARG","Ques_19","1",2016,"1983"
"158","ARG","Ques_19","1",2016,"1986"
"159","ARG","Ques_19","1",2016,"1991"
"160","ARG","Ques_19","1",2016,"1992"
"161","ARG","Ques_19","1",2016,"1996"
"162","ARG","Ques_19","1",2016,"1998"
"163","ARG","Ques_19","1",2016,"2000"
"164","ARG","Ques_19","1",2016,"2002"
"165","ARG","Ques_19","1",2016,"2003"
"166","ARG","Ques_19","1",2016,"2004"
"167","ARG","Ques_19","1",2016,"2005"
"168","ARG","Ques_19","1",2016,"2006"
"169","ARG","Ques_19","1",2016,"2007"
"170","ARG","Ques_19","1",2016,"2008"
"171","ARG","Ques_19","1",2016,"2009"
"172","ARG","Ques_19","1",2016,"2010"
"173","ARG","Ques_19","1",2016,"2011"
"174","ARG","Ques_19","1",2016,"2014"
"175","ARG","Ques_19","1",2016,"2015"
"176","ARG","Ques_19","1",2016,"2016"
"177","ARG","Ques_2","1",2016,"1925"
"178","ARG","Ques_2","1",2016,"1965"
"179","ARG","Ques_2","1",2016,"1983"
"180","ARG","Ques_2","1",2016,"1986"
"181","ARG","Ques_2","1",2016,"1991"
"182","ARG","Ques_2","1",2016,"1992"
"183","ARG","Ques_2","1",2016,"1996"
"184","ARG","Ques_2","1",2016,"1998"
"185","ARG","Ques_2","1",2016,"2000"
"186","ARG","Ques_2","1",2016,"2002"
"187","ARG","Ques_2","1",2016,"2003"
"188","ARG","Ques_2","1",2016,"2004"
"189","ARG","Ques_2","1",2016,"2005"
"190","ARG","Ques_2","1",2016,"2006"
"191","ARG","Ques_2","1",2016,"2007"
"192","ARG","Ques_2","1",2016,"2008"
"193","ARG","Ques_2","1",2016,"2009"
"194","ARG","Ques_2","1",2016,"2010"
"195","ARG","Ques_2","1",2016,"2011"
"196","ARG","Ques_2","1",2016,"2014"
"197","ARG","Ques_2","1",2016,"2015"
"198","ARG","Ques_2","1",2016,"2016"
"199","ARG","Ques_23","1",2009,"1925"
"200","ARG","Ques_23","1",2009,"1965"
"201","ARG","Ques_23","1",2009,"1983"
"202","ARG","Ques_23","1",2009,"1986"
"203","ARG","Ques_23","1",2009,"1991"
"204","ARG","Ques_23","1",2009,"1992"
"205","ARG","Ques_23","1",2009,"1996"
"206","ARG","Ques_23","1",2009,"1998"
"207","ARG","Ques_23","1",2009,"2000"
"208","ARG","Ques_23","1",2009,"2002"
"209","ARG","Ques_23","1",2009,"2003"
"210","ARG","Ques_23","1",2009,"2004"
"211","ARG","Ques_23","1",2009,"2005"
"212","ARG","Ques_23","1",2009,"2006"
"213","ARG","Ques_23","1",2009,"2007"
"214","ARG","Ques_23","1",2009,"2008"
"215","ARG","Ques_23","1",2009,"2009"
"216","ARG","Ques_23","1",2009,"2010"
"217","ARG","Ques_23","1",2009,"2011"
"218","ARG","Ques_23","1",2009,"2014"
"219","ARG","Ques_23","1",2009,"2015"
"220","ARG","Ques_23","1",2009,"2016"
"221","ARG","Ques_25","1",2009,"1925"
"222","ARG","Ques_25","1",2009,"1965"
"223","ARG","Ques_25","1",2009,"1983"
"224","ARG","Ques_25","1",2009,"1986"
"225","ARG","Ques_25","1",2009,"1991"
"226","ARG","Ques_25","1",2009,"1992"
"227","ARG","Ques_25","1",2009,"1996"
"228","ARG","Ques_25","1",2009,"1998"
"229","ARG","Ques_25","1",2009,"2000"
"230","ARG","Ques_25","1",2009,"2002"
"231","ARG","Ques_25","1",2009,"2003"
"232","ARG","Ques_25","1",2009,"2004"
"233","ARG","Ques_25","1",2009,"2005"
"234","ARG","Ques_25","1",2009,"2006"
"235","ARG","Ques_25","1",2009,"2007"
"236","ARG","Ques_25","1",2009,"2008"
"237","ARG","Ques_25","1",2009,"2009"
"238","ARG","Ques_25","1",2009,"2010"
"239","ARG","Ques_25","1",2009,"2011"
"240","ARG","Ques_25","1",2009,"2014"
"241","ARG","Ques_25","1",2009,"2015"
"242","ARG","Ques_25","1",2009,"2016"
"243","ARG","Ques_26","1",2009,"1925"
"244","ARG","Ques_26","1",2009,"1965"
"245","ARG","Ques_26","1",2009,"1983"
"246","ARG","Ques_26","1",2009,"1986"
"247","ARG","Ques_26","1",2009,"1991"
"248","ARG","Ques_26","1",2009,"1992"
"249","ARG","Ques_26","1",2009,"1996"
"250","ARG","Ques_26","1",2009,"1998"
"251","ARG","Ques_26","1",2009,"2000"
"252","ARG","Ques_26","1",2009,"2002"
"253","ARG","Ques_26","1",2009,"2003"
"254","ARG","Ques_26","1",2009,"2004"
"255","ARG","Ques_26","1",2009,"2005"
"256","ARG","Ques_26","1",2009,"2006"
"257","ARG","Ques_26","1",2009,"2007"
"258","ARG","Ques_26","1",2009,"2008"
"259","ARG","Ques_26","1",2009,"2009"
"260","ARG","Ques_26","1",2009,"2010"
"261","ARG","Ques_26","1",2009,"2011"
"262","ARG","Ques_26","1",2009,"2014"
"263","ARG","Ques_26","1",2009,"2015"
"264","ARG","Ques_26","1",2009,"2016"
"265","ARG","Ques_29","1",2009,"1925"
"266","ARG","Ques_29","1",2009,"1965"
"267","ARG","Ques_29","1",2009,"1983"
"268","ARG","Ques_29","1",2009,"1986"
"269","ARG","Ques_29","1",2009,"1991"
"270","ARG","Ques_29","1",2009,"1992"
"271","ARG","Ques_29","1",2009,"1996"
"272","ARG","Ques_29","1",2009,"1998"
"273","ARG","Ques_29","1",2009,"2000"
"274","ARG","Ques_29","1",2009,"2002"
"275","ARG","Ques_29","1",2009,"2003"
"276","ARG","Ques_29","1",2009,"2004"
"277","ARG","Ques_29","1",2009,"2005"
"278","ARG","Ques_29","1",2009,"2006"
"279","ARG","Ques_29","1",2009,"2007"
"280","ARG","Ques_29","1",2009,"2008"
"281","ARG","Ques_29","1",2009,"2009"
"282","ARG","Ques_29","1",2009,"2010"
"283","ARG","Ques_29","1",2009,"2011"
"284","ARG","Ques_29","1",2009,"2014"
"285","ARG","Ques_29","1",2009,"2015"
"286","ARG","Ques_29","1",2009,"2016"
"287","ARG","Ques_3","0",2009,"1925"
"288","ARG","Ques_3","0",2009,"1965"
"289","ARG","Ques_3","0",2009,"1983"
"290","ARG","Ques_3","0",2009,"1986"
"291","ARG","Ques_3","0",2009,"1991"
"292","ARG","Ques_3","0",2009,"1992"
"293","ARG","Ques_3","0",2009,"1996"
"294","ARG","Ques_3","0",2009,"1998"
"295","ARG","Ques_3","0",2009,"2000"
"296","ARG","Ques_3","0",2009,"2002"
"297","ARG","Ques_3","0",2009,"2003"
"298","ARG","Ques_3","0",2009,"2004"
"299","ARG","Ques_3","0",2009,"2005"
"300","ARG","Ques_3","0",2009,"2006"
"301","ARG","Ques_3","0",2009,"2007"
"302","ARG","Ques_3","0",2009,"2008"
"303","ARG","Ques_3","0",2009,"2009"
"304","ARG","Ques_3","0",2009,"2010"
"305","ARG","Ques_3","0",2009,"2011"
"306","ARG","Ques_3","0",2009,"2014"
"307","ARG","Ques_3","0",2009,"2015"
"308","ARG","Ques_3","0",2009,"2016"
"309","ARG","Ques_30","1",2009,"1925"
"310","ARG","Ques_30","1",2009,"1965"
"311","ARG","Ques_30","1",2009,"1983"
"312","ARG","Ques_30","1",2009,"1986"
"313","ARG","Ques_30","1",2009,"1991"
"314","ARG","Ques_30","1",2009,"1992"
"315","ARG","Ques_30","1",2009,"1996"
"316","ARG","Ques_30","1",2009,"1998"
"317","ARG","Ques_30","1",2009,"2000"
"318","ARG","Ques_30","1",2009,"2002"
"319","ARG","Ques_30","1",2009,"2003"
"320","ARG","Ques_30","1",2009,"2004"
"321","ARG","Ques_30","1",2009,"2005"
"322","ARG","Ques_30","1",2009,"2006"
"323","ARG","Ques_30","1",2009,"2007"
"324","ARG","Ques_30","1",2009,"2008"
"325","ARG","Ques_30","1",2009,"2009"
"326","ARG","Ques_30","1",2009,"2010"
"327","ARG","Ques_30","1",2009,"2011"
"328","ARG","Ques_30","1",2009,"2014"
"329","ARG","Ques_30","1",2009,"2015"
"330","ARG","Ques_30","1",2009,"2016"
"331","ARG","Ques_31","0",2009,"1925"
"332","ARG","Ques_31","0",2009,"1965"
"333","ARG","Ques_31","0",2009,"1983"
"334","ARG","Ques_31","0",2009,"1986"
"335","ARG","Ques_31","0",2009,"1991"
"336","ARG","Ques_31","0",2009,"1992"
"337","ARG","Ques_31","0",2009,"1996"
"338","ARG","Ques_31","0",2009,"1998"
"339","ARG","Ques_31","0",2009,"2000"
"340","ARG","Ques_31","0",2009,"2002"
"341","ARG","Ques_31","0",2009,"2003"
"342","ARG","Ques_31","0",2009,"2004"
"343","ARG","Ques_31","0",2009,"2005"
"344","ARG","Ques_31","0",2009,"2006"
"345","ARG","Ques_31","0",2009,"2007"
"346","ARG","Ques_31","0",2009,"2008"
"347","ARG","Ques_31","0",2009,"2009"
"348","ARG","Ques_31","0",2009,"2010"
"349","ARG","Ques_31","0",2009,"2011"
"350","ARG","Ques_31","0",2009,"2014"
"351","ARG","Ques_31","0",2009,"2015"
"352","ARG","Ques_31","0",2009,"2016"
"353","ARG","Ques_33","0",2009,"1925"
"354","ARG","Ques_33","0",2009,"1965"
"355","ARG","Ques_33","0",2009,"1983"
"356","ARG","Ques_33","0",2009,"1986"
"357","ARG","Ques_33","0",2009,"1991"
"358","ARG","Ques_33","0",2009,"1992"
"359","ARG","Ques_33","0",2009,"1996"
