"","iso3c","year_panel","PI","PF","RS","OS","PFR_index"
"1","ARG",1925,0,0,0,0,0
"2","ARG",1965,0,0,0,0,0
"3","ARG",1983,0,0,0,0,0
"4","ARG",1986,0,0,0,0,0
"5","ARG",1991,0,0,0,0,0
"6","ARG",1992,0,0,0,0,0
"7","ARG",1996,0,0,0,0,0
"8","ARG",1998,0,0,0,0,0
"9","ARG",2000,0,0,0,0,0
"10","ARG",2002,0,0,0,0,0
"11","ARG",2003,0,0,0,0,0
"12","ARG",2004,0,0,0,0,0
"13","ARG",2005,0,0,0,0,0
"14","ARG",2006,0,0,0,0,0
"15","ARG",2007,0,0,0,0,0
"16","ARG",2008,0,0,0,0,0
"17","ARG",2009,0.2,0.75,0.5,0.714285714285714,0.433333333333333
"18","ARG",2010,0.2,0.75,0.5,0.714285714285714,0.433333333333333
"19","ARG",2011,0.266666666666667,0.75,0.5,0.714285714285714,0.466666666666667
"20","ARG",2014,0.266666666666667,0.75,0.5,0.714285714285714,0.466666666666667
"21","ARG",2015,0.266666666666667,0.75,0.5,0.714285714285714,0.466666666666667
"22","ARG",2016,0.333333333333333,1,0.5,0.857142857142857,0.566666666666667
"23","BOL",1925,0,0,0,0,0
"24","BOL",1965,0,0,0,0,0
"25","BOL",1983,0.0769230769230769,0,0,0.333333333333333,0.12
"26","BOL",1986,0.0769230769230769,0,0,0.333333333333333,0.12
"27","BOL",1991,0.0769230769230769,0,0,0.333333333333333,0.12
"28","BOL",1992,0.0769230769230769,0,0,0.333333333333333,0.12
"29","BOL",1996,0.0769230769230769,0,0,0.333333333333333,0.12
"30","BOL",1998,0.0769230769230769,0,0,0.333333333333333,0.12
"31","BOL",2000,0.0769230769230769,0,0,0.333333333333333,0.12
"32","BOL",2002,0.0769230769230769,0,0,0.333333333333333,0.12
"33","BOL",2003,0.0769230769230769,0,0,0.333333333333333,0.12
"34","BOL",2004,0.0769230769230769,0,0,0.333333333333333,0.12
"35","BOL",2005,0.0769230769230769,0,0,0.333333333333333,0.12
"36","BOL",2006,0.0769230769230769,0,0,0.333333333333333,0.12
"37","BOL",2007,0.0769230769230769,0,0,0.333333333333333,0.12
"38","BOL",2008,0.0769230769230769,0.25,0,0.333333333333333,0.16
"39","BOL",2009,0.0769230769230769,0.5,0,0.333333333333333,0.2
"40","BOL",2010,0.0769230769230769,0.5,1,0.666666666666667,0.36
"41","BOL",2011,0.0769230769230769,0.5,1,0.666666666666667,0.36
"42","BOL",2014,0.0769230769230769,0.5,1,0.666666666666667,0.36
"43","BOL",2015,0.0769230769230769,0.5,1,0.666666666666667,0.36
"44","BOL",2016,0.230769230769231,0.75,1,0.666666666666667,0.48
"45","BRA",1925,0,0,0,0,0
"46","BRA",1965,0,0,0,0,0
"47","BRA",1983,0,0,0,0,0
"48","BRA",1986,0,0,0,0,0
"49","BRA",1991,0,0,0,0,0
"50","BRA",1992,0,0,0,0,0
"51","BRA",1996,0,0,0,0,0
"52","BRA",1998,0,0,0,0,0
"53","BRA",2000,0,0,0,0,0
"54","BRA",2002,0,0,0,0,0
"55","BRA",2003,0,0,0,0,0
"56","BRA",2004,0,0,0,0,0
"57","BRA",2005,0,0,0,0,0
"58","BRA",2006,0,0,0,0,0
"59","BRA",2007,0,0,0,0,0
"60","BRA",2008,0,0,0,0,0
"61","BRA",2009,0.166666666666667,0.5,0,0.428571428571429,0.259259259259259
"62","BRA",2010,0.25,0.75,0.5,0.571428571428571,0.444444444444444
"63","BRA",2011,0.25,0.75,0.5,0.571428571428571,0.444444444444444
"64","BRA",2014,0.25,0.75,0.5,0.571428571428571,0.444444444444444
"65","BRA",2015,0.25,0.75,0.5,0.571428571428571,0.444444444444444
"66","BRA",2016,0.25,0.75,0.5,0.571428571428571,0.444444444444444
"67","CHL",1925,0,0,0,0,0
"68","CHL",1965,0,0,0,0,0
"69","CHL",1983,0,0,0,0,0
"70","CHL",1986,0,0,0,0,0
"71","CHL",1991,0,0,0,0,0
"72","CHL",1992,0,0,0,0,0
"73","CHL",1996,0,0,0,0,0
"74","CHL",1998,0,0,0,0,0
"75","CHL",2000,0,0,0,0,0
"76","CHL",2002,0,0,0,0,0
"77","CHL",2003,0.133333333333333,0.25,0,0.285714285714286,0.172413793103448
"78","CHL",2004,0.133333333333333,0.25,0,0.285714285714286,0.172413793103448
"79","CHL",2005,0.333333333333333,0.5,0,0.857142857142857,0.448275862068966
"80","CHL",2006,0.333333333333333,0.5,0,0.857142857142857,0.448275862068966
