"","X","iso3c","question","yes_no","year_enforcement","year_panel","pfri_level","n_question","n_enforced","pfri_pct","pfr_subindex","n_question_sub","n_enforced_sub","pfri_pct_sub"
"1",1,"ARG","Ques_1",1,2009,1925,0,30,0,0,"PI",15,0,0
"2",2,"ARG","Ques_1",1,2009,1965,0,30,0,0,"PI",15,0,0
"3",3,"ARG","Ques_1",1,2009,1983,0,30,0,0,"PI",15,0,0
"4",4,"ARG","Ques_1",1,2009,1986,0,30,0,0,"PI",15,0,0
"5",5,"ARG","Ques_1",1,2009,1991,0,30,0,0,"PI",15,0,0
"6",6,"ARG","Ques_1",1,2009,1992,0,30,0,0,"PI",15,0,0
"7",7,"ARG","Ques_1",1,2009,1996,0,30,0,0,"PI",15,0,0
"8",8,"ARG","Ques_1",1,2009,1998,0,30,0,0,"PI",15,0,0
"9",9,"ARG","Ques_1",1,2009,2000,0,30,0,0,"PI",15,0,0
"10",10,"ARG","Ques_1",1,2009,2002,0,30,0,0,"PI",15,0,0
"11",11,"ARG","Ques_1",1,2009,2003,0,30,0,0,"PI",15,0,0
"12",12,"ARG","Ques_1",1,2009,2004,0,30,0,0,"PI",15,0,0
"13",13,"ARG","Ques_1",1,2009,2005,0,30,0,0,"PI",15,0,0
"14",14,"ARG","Ques_1",1,2009,2006,0,30,0,0,"PI",15,0,0
"15",15,"ARG","Ques_1",1,2009,2007,0,30,0,0,"PI",15,0,0
"16",16,"ARG","Ques_1",1,2009,2008,0,30,0,0,"PI",15,0,0
"17",17,"ARG","Ques_1",1,2009,2009,1,30,13,0.433333333333333,"PI",15,3,0.2
"18",18,"ARG","Ques_1",1,2009,2010,1,30,13,0.433333333333333,"PI",15,3,0.2
"19",19,"ARG","Ques_1",1,2009,2011,1,30,14,0.466666666666667,"PI",15,4,0.266666666666667
"20",20,"ARG","Ques_1",1,2009,2014,1,30,14,0.466666666666667,"PI",15,4,0.266666666666667
"21",21,"ARG","Ques_1",1,2009,2015,1,30,14,0.466666666666667,"PI",15,4,0.266666666666667
