"","year_panel","country","wefji","iso3c","gdp","gini","lifeexpectancy","natres","ruralpop","tertiaryschool","p_expenditure","X","OS","PF","PI","RS","PFR_index"
"1",2015,"Argentina","2.43800005435944","ARG",584711485367.267,NA,76.2930243902439,1.18332950838363,8.249,NA,2.74,21,0.714285714285714,0.75,0.266666666666667,0.5,0.466666666666667
"2",2014,"Argentina","2.29284509026549","ARG",526319673731.638,42.7,76.134,2.95011532203657,8.396,82.9173889160156,4.17,20,0.714285714285714,0.75,0.266666666666667,0.5,0.466666666666667
"3",2013,"Argentina","2.37633489819004","ARG",552025140252.246,42.3,75.9745609756098,2.97702311469381,8.548,79.986701965332,2.85,NA,0.714285714285714,0.75,0.266666666666667,0.5,0.466666666666667
"4",2012,"Argentina","2.27404240540541","ARG",545982375701.128,42.5,75.814756097561,3.4755328516501,8.705,78.9728775024414,2.25,NA,0.714285714285714,0.75,0.266666666666667,0.5,0.466666666666667
"5",2011,"Argentina","2.57964157894737","ARG",530163281574.658,43.6,75.6535609756098,3.69521635500982,8.867,77.4538879394531,2.53,19,0.714285714285714,0.75,0.266666666666667,0.5,0.466666666666667
"6",2010,"Argentina","2.56268254232804","ARG",423627422092.49,44.5,75.4920243902439,3.13817619530761,9.03400000000001,73.9392013549805,2.66,18,0.714285714285714,0.75,0.2,0.5,0.433333333333333
"7",2009,"Argentina","2.40934555481928","ARG",332976484577.619,45.3,75.3310975609756,2.87748820619491,9.205,70.5332870483398,2.48,17,0.714285714285714,0.75,0.2,0.5,0.433333333333333
"8",2008,"Argentina","2.21115015157582","ARG",361558037110.419,46.3,75.1712926829268,5.05085468255304,9.378,68.141357421875,2.02,16,0,0,0,0,0
"9",2007,"Argentina","2.173863542612","ARG",287530508430.568,47.4,75.0115609756098,4.91500483555006,9.55500000000001,66.3509063720703,2.01,15,0,0,0,0,0
"10",2006,"Argentina","2.19965297531005","ARG",232557260817.308,48.3,74.8514146341464,5.91203912200959,9.73399999999999,66.8311004638672,2.4,14,0,0,0,0,0
"11",2015,"Bolivia","2.56142551104228","BOL",33000198263.3864,45.8,68.7498048780488,7.92337507517704,31.488,NA,13.75,43,0.666666666666667,0.5,0.0769230769230769,1,0.36
"12",2014,"Bolivia","3.29384493790991","BOL",32996187988.4226,48.4,68.3503170731707,12.8772473997254,31.893,NA,16.61,42,0.666666666666667,0.5,0.0769230769230769,1,0.36
"13",2013,"Bolivia","3.10432950410959","BOL",30659338929.0883,48.1,67.9173658536585,12.4539584402901,32.304,NA,13.53,NA,0.666666666666667,0.5,0.0769230769230769,1,0.36
"14",2012,"Bolivia","3.14379228741722","BOL",27084497539.7974,46.7,67.4469512195122,13.3183769178825,32.721,NA,10.8,NA,0.666666666666667,0.5,0.0769230769230769,1,0.36
"15",2011,"Bolivia","3.01979597164179","BOL",23963033443.8518,46.3,66.9416097560976,14.2422723673777,33.145,NA,12.09,41,0.666666666666667,0.5,0.0769230769230769,1,0.36
"16",2010,"Bolivia","2.31480310097087","BOL",19649631308.1648,NA,66.4058048780488,9.61290530060865,33.574,NA,9.92,40,0.666666666666667,0.5,0.0769230769230769,1,0.36
"17",2009,"Bolivia","2.06293051724138","BOL",17339992165.2422,49.7,65.8465609756098,7.79556661394592,34.009,NA,12,39,0.333333333333333,0.5,0.0769230769230769,0,0.2
"18",2008,"Bolivia","2.2203567625894","BOL",16674324634.2373,51.4,65.2728292682927,15.1595553209701,34.45,NA,10.93,38,0.333333333333333,0.25,0.0769230769230769,0,0.16
"19",2007,"Bolivia","2.43613375028625","BOL",13120159975.5451,55.4,64.6936341463415,16.4332213068653,34.896,38.3905715942383,11.75,37,0.333333333333333,0,0.0769230769230769,0,0.12
"20",2006,"Bolivia","2.37328862291172","BOL",11451869164.7112,56.9,64.1149512195122,16.2426188317652,35.348,NA,10.37,36,0.333333333333333,0,0.0769230769230769,0,0.12
