"","iso3c","idea_pct"
"1","AND",76
"2","AFG",75
"3","AGO",52
"4","ALB",69
"5","ARG",55
"6","ARM",78
"7","ATG",25
"8","AUS",31
"9","AUT",7
"10","AZE",79
"11","BDI",37
"12","BEL",65
"13","BEN",57
"14","BFA",30
"15","BGD",55
"16","BGR",86
"17","BHR",26
"18","BHS",4
"19","BIH",83
"20","BLR",56
"21","BLZ",5
"22","BOL",41
"23","BRA",72
"24","BRB",5
"25","BTN",90
"26","BWA",30
"27","CAF",21
"28","CAN",84
"29","CHE",7
"30","CHL",55
"31","CIV",50
"32","CMR",25
"33","COD",38
"34","COL",77
"35","COM",33
"36","CPV",71
"37","CRI",71
"38","CYP",54
"39","CZE",21
"40","DEU",14
"41","DJI",0
"42","DMA",7
"43","DNK",19
"44","DOM",29
"45","DZA",58
"46","ECU",86
"47","EGY",43
"48","ESP",35
"49","EST",52
"50","ETH",50
"51","FIN",57
"52","FJI",75
"53","FRA",65
"54","FSM",17
"55","GAB",26
"56","GBR",48
"57","GEO",59
"58","GHA",39
"59","GIN",53
"60","GMB",22
"61","GNB",52
"62","GNQ",80
"63","GRC",80
"64","GRD",7
"65","GTM",57
"66","GUY",7
"67","HND",58
"68","HRV",81
"69","HTI",60
"70","HUN",36
"71","IDN",64
"72","IND",4
"73","IRL",19
"74","IRN",33
"75","IRQ",14
"76","ISL",21
"77","ISR",10
"78","ITA",48
"79","JAM",16
"80","JOR",34
"81","JPN",22
"82","KAZ",56
"83","KEN",69
"84","KGZ",70
"85","KHM",27
"86","KIR",10
"87","KNA",0
"88","KOR",90
"89","LBN",33
"90","LBR",63
"91","LBY",50
"92","LCA",8
"93","LIE",0
"94","LKA",26
"95","LSO",24
"96","LTU",72
"97","LUX",46
"98","LVA",93
"99","MAR",42
"100","MCO",11
"101","MDA",83
"102","MDG",28
"103","MDV",45
"104","MEX",81
"105","MHL",10
"106","MKD",77
"107","MLI",37
"108","MLT",46
"109","MMR",30
"110","MNE",69
"111","MNG",84
"112","MOZ",48
"113","MRT",29
"114","MUS",12
"115","MWI",7
"116","MYS",18
"117","NAM",7
"118","NER",47
"119","NGA",47
"120","NIC",32
"121","NLD",28
"122","NOR",33
"123","NPL",44
"124","NRU",7
"125","NZL",3
"126","PAK",48
"127","PAN",48
"128","PER",74
"129","PHL",13
"130","PLW",29
"131","PNG",53
"132","POL",84
"133","PRT",57
"134","PRY",4
"135","ROU",73
"136","RUS",84
"137","RWA",42
"138","SDN",50
"139","SEN",21
"140","SGP",41
"141","SLB",27
"142","SLE",63
"143","SLV",19
"144","SMR",79
"145","SRB",78
"146","STP",82
"147","SUR",17
"148","SVK",59
"149","SVN",83
"150","SWE",27
"151","SWZ",4
"152","SYC",32
"153","SYR",39
"154","TCD",23
"155","TGO",54
"156","THA",58
"157","TJK",69
"158","TKM",37
"159","TLS",44
"160","TON",15
"161","TTO",47
"162","TUN",84
"163","TUR",5.5555556
"164","TUV",9.0909091
"165","TWN",0
"166","TZA",48.3870968
"167","UGA",50
"168","UKR",73.0769231
"169","URY",70.9677419
"170","USA",71.4285714
"171","UZB",63.3333333
"172","VCT",8.3333333
"173","VEN",45.1613
"174","VUT",3.8461538
"175","WSM",20
"176","YEM",0
"177","ZAF",16.6666667
"178","COG",51.8518519
"179","ZMB",19.3548387
"180","ZWE",26.6666667
