"","X","year_panel","un_region_name","index_type","pfr","coc"
"1",1,"1996","Africa","blpi_pct",0.0262745098039216,-0.553288489
"2",2,"1996","Africa","os_pct",0.0570588235294118,-0.553288489
"3",3,"1996","Africa","pf_pct",0.0666013071960784,-0.553288489
"4",4,"1996","Africa","rs_pct",0.0529411764705882,-0.553288489
"5",5,"1996","Americas","blpi_pct",0.0181617647058824,0.0655216282352941
"6",6,"1996","Americas","os_pct",0.0486764705882353,0.0655216282352941
"7",7,"1996","Americas","pf_pct",0.0221568627352941,0.0655216282352941
"8",8,"1996","Americas","rs_pct",0.07,0.0655216282352941
"9",9,"1996","Asia","blpi_pct",0.0578378378378378,-0.30056003027027
"10",10,"1996","Asia","os_pct",0.0656756756756757,-0.30056003027027
"11",11,"1996","Asia","pf_pct",0.0495495495405405,-0.30056003027027
"12",12,"1996","Asia","rs_pct",0.0945945945945946,-0.30056003027027
"13",13,"1996","Europe","blpi_pct",0.0411627906976744,0.65936626744186
"14",14,"1996","Europe","os_pct",0.0467441860465116,0.65936626744186
"15",15,"1996","Europe","pf_pct",0.0232558139534884,0.65936626744186
"16",16,"1996","Europe","rs_pct",0.0834883720930233,0.65936626744186
"17",17,"1996","Oceania","blpi_pct",0,0.300412655714286
"18",18,"1996","Oceania","os_pct",0.0671428571428571,0.300412655714286
"19",19,"1996","Oceania","pf_pct",0.0242857142857143,0.300412655714286
"20",20,"1996","Oceania","rs_pct",0.15,0.300412655714286
"21",21,"2015","Africa","blpi_pct",0.218389780156863,-0.6362983632
"22",22,"2015","Africa","os_pct",0.510494864627451,-0.6362983632
"23",23,"2015","Africa","pf_pct",0.386862745098039,-0.6362983632
"24",24,"2015","Africa","rs_pct",0.433921568627451,-0.6362983632
"25",25,"2015","Americas","blpi_pct",0.327746983411765,-0.0329750064705882
"26",26,"2015","Americas","os_pct",0.443949579823529,-0.0329750064705882
"27",27,"2015","Americas","pf_pct",0.287941176470588,-0.0329750064705882
"28",28,"2015","Americas","rs_pct",0.345,-0.0329750064705882
"29",29,"2015","Asia","blpi_pct",0.354414414405405,-0.350611507297297
"30",30,"2015","Asia","os_pct",0.538243243243243,-0.350611507297297
"31",31,"2015","Asia","pf_pct",0.287297297297297,-0.350611507297297
"32",32,"2015","Asia","rs_pct",0.449189189189189,-0.350611507297297
"33",33,"2015","Europe","blpi_pct",0.451550387604651,0.74258169255814
"34",34,"2015","Europe","os_pct",0.616677740860465,0.74258169255814
"35",35,"2015","Europe","pf_pct",0.338372093023256,0.74258169255814
"36",36,"2015","Europe","rs_pct",0.423255813953488,0.74258169255814
"37",37,"2015","Oceania","blpi_pct",0.11,0.170687062857143
"38",38,"2015","Oceania","os_pct",0.331428571428571,0.170687062857143
"39",39,"2015","Oceania","pf_pct",0.107142857142857,0.170687062857143
"40",40,"2015","Oceania","rs_pct",0.327380952357143,0.170687062857143
