"","iso3c","key","value"
"1","ARG","idea_diff",0.55
"2","BOL","idea_diff",0.19
"3","BRA","idea_diff",0.72
"4","CHL","idea_diff",0.1
"5","COL","idea_diff",0.74
"6","CRI","idea_diff",0.67
"7","DOM","idea_diff",0
"8","ECU","idea_diff",0.83
"9","GTM","idea_diff",0.57
"10","HND","idea_diff",0.58
"11","MEX","idea_diff",0.81
"12","NIC","idea_diff",0
"13","PAN","idea_diff",0
"14","PER","idea_diff",0.32
"15","PRY","idea_diff",0
"16","SLV","idea_diff",0.15
"17","URY","idea_diff",0.580645161
"18","VEN","idea_diff",0.322581
"19","ARG","coc_diff",-0.2143
"20","BOL","coc_diff",-0.2864
"21","BRA","coc_diff",-0.2968
"22","CHL","coc_diff",-0.1711
"23","COL","coc_diff",-0.1932
"24","CRI","coc_diff",0.3671
"25","DOM","coc_diff",-0.1334
"26","ECU","coc_diff",0.1738
"27","GTM","coc_diff",0.0441999999999999
"28","HND","coc_diff",0.1849
"29","MEX","coc_diff",-0.4896
"30","NIC","coc_diff",-0.2004
"31","PAN","coc_diff",0.0161
"32","PER","coc_diff",-0.3843
"33","PRY","coc_diff",0.2472
"34","SLV","coc_diff",-0.2394
"35","URY","coc_diff",0.2623657
"36","VEN","coc_diff",-0.35028031
