"","iso3c","year_panel","blpi_pct","pf_pct","rs_pct","os_pct","idea_pct","CoC","un_region_name","CoC_01","X","wefji","gdp","gini","lifeexpectancy","natres","ruralpop","tertiaryschool","p_expenditure","PI","PF","RS","OS","PFR_index","CoC_recoded","idea_pct_recoded"
"1","ARG",2006,0,0,0,0,0,-0.3726,"Americas",-0.3726,1,2.19965297531005,232557260817.308,48.3,74.8514146341464,5.91203912200959,9.73399999999999,66.8311004638672,2.4,0,0,0,0,0,4.2548,0
"2","BOL",2006,0.33,0,0,0.25,0.22,-0.397,"Americas",-0.397,11,2.37328862291172,11451869164.7112,56.9,64.1149512195122,16.2426188317652,35.348,NA,10.37,0.0769230769230769,0,0,0.333333333333333,0.12,4.206,22
"3","BRA",2006,0,0,0,0,0,-0.1359,"Americas",-0.1359,21,2.90444399603754,1107640325472.35,55.9,72.3493414634146,4.88971531322896,16.857,NA,1.14,0,0,0,0,0,4.7282,0
"4","CHL",2006,0.31,0.33,0.25,0.75,0.45,1.4299,"Americas",1.4299,31,3.99248218602185,154788024805.808,48.2,77.7909512195122,21.440345770711,12.311,48.619499206543,2.87,0.333333333333333,0.5,0,0.857142857142857,0.448275862068966,7.8598,45
"5","COL",2006,0.07,0,0,0,0.03,-0.0994,"Americas",-0.0994,41,3.5296453690878,162590146096.414,NA,72.4924390243903,7.0199070460794,26.124,31.3316402435303,1.42,0.0666666666666667,0,0,0,0.0357142857142857,4.8012,3
"6","CRI",2006,0.07,0,0,0,0.04,0.3402,"Americas",0.3402,51,5.0647817047817,22600431878.0024,49.3,78.2068292682927,1.32940939184305,33.068,NA,0.9,0,0,0,0,0,5.6804,4
"7","DOM",2006,0.25,0.33,0.4,0.14,0.29,-0.6362,"Americas",-0.6362,61,2.99006064343715,35952845582.5029,51.9,71.9158292682927,2.61546456201523,31.295,NA,3.06,0,0,0.333333333333333,0,0.05,3.7276,29
"8","ECU",2006,0,0,0.25,0,0.03,-0.8278,"Americas",-0.8278,71,1.7327479283614,46802044000,53.2,74.3207317073171,17.4440543897611,38.093,NA,3.57,0,0,0.25,0,0.0333333333333333,3.3444,3
"9","GTM",2006,0,0,0,0,0,-0.7554,"Americas",-0.7554,91,2.81623867069486,30231249362.0604,54.9,69.9756829268293,1.8176993368353,52.407,NA,5.26,0,0,0,0,0,3.4892,0
"10","HND",2006,0,0,0,0,0,-0.7518,"Americas",-0.7518,101,2.41900914634146,10841742347.7968,57.4,71.6729756097561,2.52790787031759,50.842,NA,3.34,0,0,0,0,0,3.4964,0
"11","MEX",2006,0,0,0,0,0,-0.2525,"Americas",-0.2525,111,3.56965939413618,965281191371.844,48,75.4397804878049,6.11018970164285,23.383,23.6079692840576,2.62,0,0,0,0,0,4.495,0
"12","NIC",2006,0.13,0.5,0.4,0.38,0.32,-0.6739,"Americas",-0.6739,121,1.36653244565653,6763671610.70006,NA,72.2150487804878,1.7539625404105,43.819,NA,5.35,0,0.75,1,0.166666666666667,0.25,3.6522,32
"13","PAN",2006,0.47,0.4,0.4,0.33,0.48,-0.3593,"Americas",-0.3593,131,2.4700361512792,18141666300,55.1,76.139512195122,0.127248921645498,36.04,43.0770797729492,2.39,0,0.333333333333333,0.333333333333333,0.142857142857143,0.111111111111111,4.2814,48
"14","PER",2006,0.47,0.17,0.2,0.5,0.42,-0.2127,"Americas",-0.2127,151,1.98834780414404,88643193061.748,51.7,72.7459512195122,12.683522865814,24.579,34.3235092163086,2.06,0,0.25,0,0,0.037037037037037,4.5746,42
"15","PRY",2006,0.1,0,0,0,0.04,-1.1875,"Americas",-1.1875,141,1.55221576396145,10646157920.3209,53.6,71.4913414634146,2.3048970258692,42.422,NA,3.49,0,NA,0,0,0,2.625,4
"16","SLV",2006,0,0.17,0,0,0.04,-0.1952,"Americas",-0.1952,81,2.95691336633663,18550700000,45.4,70.4791951219512,0.46867529766251,37.813,23.270959854126,2.67,0,0.666666666666667,0,0,0.0769230769230769,4.6096,4
"17","URY",2006,0,0.333333333,0.4,0,0.129032258,1.0357882,"Americas",1.0357882,161,5.05025393299243,19579457966.0538,47.2,75.7964146341464,1.09732571097856,6.447,46.0317802429199,1.41,0,0.333333333333333,0.5,0,0.103448275862069,7.0715764,12.9032258
"18","VEN",2006,0.125,0.166666667,0,0.142857143,0.129032,-0.97797519,"Americas",-0.97797519,171,1.23301708192797,183477522123.894,46.9,73.3020487804878,23.0930041046314,11.395,NA,6.69,0.0714285714285714,0.666666666666667,0,0.166666666666667,0.153846153846154,3.04404962,12.9032
