"","iso3c","year_panel","blpi_pct","pf_pct","rs_pct","os_pct","idea_pct","CoC","un_region_name","CoC_01","X","wefji","gdp","gini","lifeexpectancy","natres","ruralpop","tertiaryschool","p_expenditure","PI","PF","RS","OS","PFR_index","CoC_recoded","idea_pct_recoded"
"1","ARG",2015,0.5,0.4,0.25,0.71,0.55,-0.5869,"Americas",-0.5869,10,2.43800005435944,584711485367.267,NA,76.2930243902439,1.18332950838363,8.249,NA,2.74,0.266666666666667,0.75,0.5,0.714285714285714,0.466666666666667,3.8262,55
"2","BOL",2015,0.42,0,0.4,0.5,0.41,-0.6834,"Americas",-0.6834,20,2.56142551104228,33000198263.3864,45.8,68.7498048780488,7.92337507517704,31.488,NA,13.75,0.0769230769230769,0.5,1,0.666666666666667,0.36,3.6332,41
"3","BRA",2015,0.63,0.67,0.4,0.88,0.72,-0.4327,"Americas",-0.4327,30,3.3804923873239,1803652649613.75,51.3,75.1991219512195,2.90939130336479,14.313,50.6049194335938,1.97,0.25,0.75,0.5,0.571428571428571,0.444444444444444,4.1346,72
"4","CHL",2015,0.31,0.67,0.5,0.75,0.55,1.2588,"Americas",1.2588,40,5.03241282540856,242517905161.727,47.7,79.1606829268293,12.1958770529842,10.47,88.5772933959961,4.29,0.333333333333333,0.75,0.333333333333333,0.857142857142857,0.517241379310345,7.5176,55
"5","COL",2015,0.67,0.67,0.75,0.75,0.77,-0.2926,"Americas",-0.2926,50,2.69090908765793,291519591532.951,51.1,74.1561951219512,3.5786077652476,23.564,55.6572685241699,3,0.8,0.666666666666667,1,1,0.857142857142857,4.4148,77
"6","CRI",2015,0.86,0.2,0.4,0.71,0.71,0.7073,"Americas",0.7073,60,5.07703332625373,54840103850.265,48.2,79.6089024390244,1.25618493157699,23.179,53.6296615600586,1.82,0,0.75,0.5,0.285714285714286,0.241379310344828,6.4146,71
"7","DOM",2015,0.25,0.33,0.4,0.14,0.29,-0.7696,"Americas",-0.7696,70,2.59131108050724,68102618092.1031,44.9,73.7036829268293,1.97793209366988,21.02,50.1163902282715,2.81,0,0,0.333333333333333,0,0.05,3.4608,29
"8","ECU",2015,0.81,0.6,0.75,0.86,0.86,-0.654,"Americas",-0.654,80,2.10526323318481,100176808000,46.5,76.081512195122,3.85857414029947,36.258,NA,9.65,0.866666666666667,0.75,1,1,0.9,3.692,86
"9","GTM",2015,0.53,0.5,0.5,0.5,0.57,-0.7112,"Americas",-0.7112,100,2.98170479108702,63767597193.9175,NA,73.0429756097561,2.29220828552765,48.429,21.846809387207,2.18,0.466666666666667,0.75,0.5,0.857142857142857,0.6,3.5776,57
"10","HND",2015,0.6,0.5,0.4,0.5,0.58,-0.5669,"Americas",-0.5669,110,3.34153554563839,20844308600.8656,50.1,73.3246097560976,2.49451983253052,45.27,22.0593700408936,4.74,0,0,1,1,0.538461538461538,3.8662,58
"11","MEX",2015,0.75,0.6,0.6,0.88,0.81,-0.7421,"Americas",-0.7421,120,3.1742305619376,1151037122909.08,NA,76.8813658536586,2.26483496921619,20.754,NA,3.3,0,0.75,0.333333333333333,0.142857142857143,0.178571428571429,3.5158,81
"12","NIC",2015,0.13,0.5,0.4,0.38,0.32,-0.8743,"Americas",-0.8743,130,1.67869048118591,12747741539.7259,NA,75.038,4.11474558806679,41.221,NA,4.51,0,0.75,1,0.166666666666667,0.25,3.2514,32
"13","PAN",2015,0.47,0.4,0.4,0.33,0.48,-0.3432,"Americas",-0.3432,140,2.64969419834766,52132289700,51,77.8174390243903,0.18649587915768,33.408,NA,6.25,0,0.666666666666667,0.333333333333333,0.142857142857143,0.148148148148148,4.3136,48
"14","PER",2015,0.73,0.5,0.4,0.88,0.74,-0.597,"Americas",-0.597,160,2.79911156852137,189212096470.293,44.3,74.7134146341463,6.2913853262124,21.391,NA,4.87,0,0.75,0,0.142857142857143,0.148148148148148,3.806,74
"15","PRY",2015,0.1,0,0,0,0.04,-0.9403,"Americas",-0.9403,150,1.9519989588947,27282581335.7964,48,73.0429756097561,2.19758586297901,40.334,NA,4.12,0,NA,0,0,0,3.1194,4
"16","SLV",2015,0,0.5,0.4,0,0.19,-0.4346,"Americas",-0.4346,90,3.41814790650418,26052340000,40.8,73.0030975609756,0.912326808782312,33.274,29.1310997009277,2.62,0,0.666666666666667,0.333333333333333,0.142857142857143,0.153846153846154,4.1308,19
"17","URY",2015,0.666666667,0.5,0.4,0.875,0.709677419,1.2981539,"Americas",1.2981539,170,5.69395610584932,53274304214.8174,41.7,77.1316341463415,1.64015539768757,4.68899999999999,55.5662689208984,1.23,0.266666666666667,0.666666666666667,1,1,0.586206896551724,7.5963078,70.9677419
"18","VEN",2015,0.4375,0.166666667,0.2,0.714285714,0.451613,-1.3282555,"Americas",-1.3282555,180,1.12768639326096,NA,NA,74.391512195122,NA,11.01,NA,NA,0.785714285714286,1,0.333333333333333,0.666666666666667,0.730769230769231,2.343489,45.1613
